N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
300.0,KOSEF 200TR,41540.0,상승  785,+1.93%,0.0,,,
301.0,신한알파리츠,5740.0,보합0,0.00%,1000.0,583.0,21588.0,338.0
302.0,한국단자,66600.0,하락  400,-0.60%,500.0,12969.0,14251.0,1117.0
303.0,ACE 테슬라밸류체인액티브,17830.0,하락  680,-3.67%,0.0,,,
304.0,KODEX 단기채권,112030.0,하락  10,-0.01%,0.0,,,
305.0,세아베스틸지주,19230.0,하락  210,-1.08%,5000.0,40835.0,36652.0,1967.0
306.0,DL,32500.0,"상승  1,450",+4.67%,5000.0,50178.0,121196.0,1507.0
307.0,태광산업,608000.0,"상승  2,000",+0.33%,5000.0,22655.0,47383.0,-994.0
308.0,대상,19190.0,상승  300,+1.59%,1000.0,41075.0,33344.0,1237.0
309.0,동아쏘시오홀딩스,104700.0,"하락  1,600",-1.51%,5000.0,11320.0,19571.0,769.0
310.0,TIGER 미국30년국채스트립액티브(합성 H),40235.0,상승  515,+1.30%,0.0,,,
311.0,TIGER 종합채권(AA-이상)액티브,55920.0,상승  70,+0.13%,0.0,,,
312.0,SNT다이내믹스,19470.0,하락  680,-3.37%,2500.0,4860.0,10569.0,416.0
313.0,TIGER 미국달러단기채권액티브,13165.0,상승  5,+0.04%,0.0,,,
314.0,코스모화학,16720.0,"상승  1,890",+12.74%,1000.0,7990.0,10910.0,30.0
315.0,교보증권,5610.0,보합0,0.00%,5000.0,37430.0,155934.0,703.0
316.0,아이에스동서,21050.0,상승  350,+1.69%,500.0,20294.0,42374.0,3405.0
317.0,롯데손해보험,2040.0,상승  25,+1.24%,1000.0,25767.0,148430.0,3963.0
318.0,한화리츠,3520.0,상승  25,+0.72%,500.0,335.0,15864.0,191.0
319.0,ACE KRX금현물,18305.0,하락  5,-0.03%,0.0,,,
320.0,삼성 레버리지 WTI원유 선물 ETN,1560.0,상승  59,+3.93%,0.0,,,
321.0,케이카,12840.0,하락  180,-1.38%,500.0,20476.0,5541.0,590.0
322.0,카프로,3660.0,보합0,0.00%,500.0,756.0,2168.0,-395.0
323.0,N2 코스피 변동성 매칭형 양매도 ETN,8775.0,상승  60,+0.69%,0.0,,,
324.0,한국카본,11820.0,하락  450,-3.67%,500.0,5944.0,7924.0,165.0
325.0,솔루스첨단소재,8720.0,상승  540,+6.60%,100.0,4294.0,17067.0,-732.0
326.0,일진하이솔루스,16820.0,상승  360,+2.19%,500.0,787.0,3384.0,-98.0
327.0,DS단석,34550.0,"상승  5,700",+19.76%,500.0,10704.0,7189.0,762.0
328.0,KODEX 미국빅테크10(H),47120.0,하락  30,-0.06%,0.0,,,
329.0,케이씨텍,29050.0,"상승  2,350",+8.80%,500.0,2869.0,5000.0,327.0
330.0,제주항공,7400.0,상승  250,+3.50%,1000.0,17240.0,19809.0,1698.0
331.0,NHN,17650.0,상승  60,+0.34%,500.0,22696.0,34497.0,556.0
332.0,비에이치,17250.0,상승  130,+0.76%,500.0,15920.0,10894.0,848.0
333.0,롯데관광개발,7790.0,상승  230,+3.04%,500.0,3135.0,17641.0,-606.0
334.0,KCC글라스,37100.0,하락  350,-0.93%,1000.0,16801.0,22237.0,950.0
335.0,지누스,26600.0,"상승  2,000",+8.13%,500.0,9523.0,10414.0,183.0
336.0,SNT모티브,40400.0,상승  50,+0.12%,5000.0,11363.0,12112.0,1166.0
337.0,넥센타이어,6040.0,상승  80,+1.34%,500.0,27017.0,42327.0,1870.0
338.0,쏘카,17830.0,하락  140,-0.78%,100.0,3985.0,6790.0,-97.0
339.0,TIGER 리츠부동산인프라,4100.0,상승  40,+0.99%,0.0,,,
340.0,동원F&B,30150.0,하락  500,-1.63%,1000.0,43608.0,22061.0,1667.0
341.0,TIGER 미국나스닥100타겟데일리커버드콜,10380.0,하락  45,-0.43%,0.0,,,
342.0,ACE 미국배당다우존스,13005.0,하락  55,-0.42%,0.0,,,
343.0,티웨이항공,2675.0,상승  210,+8.52%,500.0,13488.0,12839.0,1394.0
344.0,JW중외제약,24700.0,상승  750,+3.13%,2500.0,7485.0,6450.0,1003.0
345.0,ACE 미국빅테크TOP7 Plus,18835.0,하락  5,-0.03%,0.0,,,
346.0,KG스틸,5700.0,상승  170,+3.07%,5000.0,34298.0,31955.0,2804.0
347.0,가온전선,57800.0,"하락  1,700",-2.86%,5000.0,14986.0,8018.0,437.0
348.0,TIGER Fn반도체TOP10,9710.0,상승  460,+4.97%,0.0,,,
349.0,대한해운,1739.0,상승  51,+3.02%,500.0,13974.0,47278.0,2500.0
350.0,신풍제약,10530.0,하락  120,-1.13%,500.0,2002.0,3501.0,-474.0
351.0,삼양홀딩스,65100.0,상승  100,+0.15%,5000.0,32109.0,51367.0,948.0
352.0,TIGER 미국달러SOFR금리액티브(합성),59655.0,상승  65,+0.11%,0.0,,,
353.0,PLUS 200,33130.0,상승  645,+1.99%,0.0,,,
354.0,TIGER 차이나항셍테크,7155.0,하락  10,-0.14%,0.0,,,
355.0,명신산업,10540.0,상승  240,+2.33%,500.0,17389.0,10449.0,2081.0
356.0,한세실업,13800.0,상승  50,+0.36%,500.0,17088.0,12372.0,1682.0
357.0,OCI,61600.0,"상승  3,400",+5.84%,5000.0,12888.0,19905.0,575.0
358.0,PI첨단소재,18700.0,"상승  1,370",+7.91%,500.0,2176.0,5179.0,-39.0
359.0,제이알글로벌리츠,2780.0,상승  25,+0.91%,1000.0,614.0,21248.0,336.0
360.0,동아에스티,59800.0,상승  700,+1.18%,5000.0,6640.0,12644.0,112.0
361.0,후성,5090.0,상승  245,+5.06%,500.0,5232.0,8534.0,-461.0
362.0,미래에셋증권2우B,3880.0,보합0,0.00%,5000.0,,,
363.0,전진건설로봇,37050.0,하락  400,-1.07%,500.0,1584.0,1583.0,329.0
364.0,삼아알미늄,36450.0,"상승  3,250",+9.79%,500.0,2680.0,4043.0,38.0
365.0,현대홈쇼핑,44650.0,하락  150,-0.33%,5000.0,20645.0,34325.0,600.0
366.0,율촌화학,21500.0,상승  900,+4.37%,500.0,4145.0,6790.0,-162.0
367.0,화승엔터프라이즈,8780.0,상승  120,+1.39%,500.0,12138.0,13606.0,130.0
368.0,유안타증권,2665.0,상승  5,+0.19%,5000.0,28550.0,164618.0,1291.0
369.0,드림텍,7690.0,하락  90,-1.16%,100.0,10304.0,7953.0,340.0
370.0,대한유화,81200.0,"상승  5,000",+6.56%,5000.0,25000.0,21965.0,-623.0
371.0,TIGER 200 IT,26935.0,상승  955,+3.68%,0.0,,,
372.0,LX홀딩스,6830.0,보합0,0.00%,1000.0,1181.0,16985.0,732.0
373.0,KODEX 인버스,4715.0,하락  90,-1.87%,0.0,,,
374.0,진에어,9860.0,상승  70,+0.72%,1000.0,12772.0,9523.0,1822.0
375.0,KB KIS CD금리투자 ETN,51435.0,보합0,0.00%,0.0,,,
376.0,KODEX 미국반도체MV,24775.0,상승  125,+0.51%,0.0,,,
377.0,파미셀,8510.0,상승  340,+4.16%,500.0,562.0,925.0,13.0
378.0,신한 레버리지 WTI원유 선물 ETN(H),1005.0,상승  35,+3.61%,0.0,,,
379.0,KODEX 반도체,30500.0,"상승  1,390",+4.77%,0.0,,,
380.0,삼양사,47800.0,보합0,0.00%,5000.0,26514.0,32050.0,1132.0
381.0,아세아,234500.0,"하락  13,500",-5.44%,5000.0,21159.0,32721.0,2404.0
382.0,바이오노트,4810.0,상승  10,+0.21%,500.0,901.0,15928.0,-470.0
383.0,HJ중공업,5890.0,하락  190,-3.12%,5000.0,21621.0,28906.0,-1088.0
384.0,KODEX 미국30년국채타겟커버드콜(합성 H),9195.0,상승  25,+0.27%,0.0,,,
385.0,두산우,121600.0,"상승  8,800",+7.80%,5000.0,,,
386.0,SOL 초단기채권액티브,52455.0,상승  5,+0.01%,0.0,,,
387.0,KODEX 인도Nifty50,14210.0,상승  100,+0.71%,0.0,,,
388.0,유니드,71400.0,상승  300,+0.42%,5000.0,11337.0,12591.0,321.0
389.0,세진중공업,8490.0,하락  260,-2.97%,500.0,3848.0,5440.0,336.0
390.0,KODEX 자동차,18210.0,상승  95,+0.52%,0.0,,,
391.0,퍼시스,41800.0,상승  900,+2.20%,1000.0,3629.0,5976.0,352.0
392.0,TIGER 단기채권액티브,55050.0,상승  5,+0.01%,0.0,,,
393.0,한화손해보험,4115.0,상승  85,+2.11%,5000.0,60729.0,181153.0,3065.0
394.0,F&F홀딩스,12260.0,상승  300,+2.51%,500.0,19863.0,38405.0,5144.0
395.0,RISE 단기통안채,113930.0,상승  5,0.00%,0.0,,,
396.0,E1,69000.0,상승  900,+1.32%,5000.0,78277.0,45974.0,932.0
397.0,현대그린푸드,13900.0,하락  130,-0.93%,500.0,18270.0,8803.0,648.0
398.0,TIGER TOP10,10695.0,상승  245,+2.34%,0.0,,,
399.0,SOL 조선TOP3플러스,15185.0,하락  375,-2.41%,0.0,,,
400.0,KODEX 국고채3년,61815.0,하락  5,-0.01%,0.0,,,
401.0,고려제강,18400.0,상승  270,+1.49%,1000.0,17889.0,24513.0,563.0
402.0,더본코리아,31350.0,상승  300,+0.97%,500.0,4107.0,2084.0,256.0
403.0,SNT에너지,22200.0,"하락  2,550",-10.30%,500.0,3220.0,4232.0,208.0
404.0,LF,15700.0,상승  110,+0.71%,5000.0,19007.0,27556.0,574.0
405.0,지역난방공사,39550.0,하락  700,-1.74%,5000.0,39537.0,79684.0,3147.0
406.0,STX엔진,19900.0,하락  850,-4.10%,2500.0,6304.0,8991.0,189.0
407.0,PLUS 고배당주,14355.0,하락  40,-0.28%,0.0,,,
408.0,SPC삼립,52500.0,상승  300,+0.57%,5000.0,34333.0,12937.0,917.0
409.0,쿠쿠홈시스,20050.0,하락  350,-1.72%,100.0,9546.0,11381.0,1449.0
410.0,KODEX 미국달러SOFR금리액티브(합성),12350.0,상승  10,+0.08%,0.0,,,
411.0,KODEX 국고채30년액티브,120700.0,상승  365,+0.30%,0.0,,,
412.0,TIGER 미국테크TOP10타겟커버드콜,14845.0,하락  45,-0.30%,0.0,,,
413.0,GS피앤엘,22250.0,상승  50,+0.23%,1000.0,,,
414.0,엠앤씨솔루션,48200.0,"상승  1,200",+2.55%,100.0,1809.0,3586.0,215.0
415.0,TIGER 2차전지소재Fn,4090.0,상승  260,+6.79%,0.0,,,
416.0,디아이,15370.0,상승  890,+6.15%,500.0,2145.0,2806.0,61.0
417.0,키움 CD금리투자 ETN,102545.0,보합0,0.00%,0.0,,,
418.0,SK이터닉스,12840.0,상승  610,+4.99%,200.0,,,
419.0,한일홀딩스,13970.0,상승  180,+1.31%,1000.0,23631.0,35598.0,2620.0
420.0,삼성FN리츠,4690.0,상승  20,+0.43%,500.0,94.0,7337.0,61.0
421.0,SBS,22850.0,상승  400,+1.78%,5000.0,9968.0,13464.0,583.0
422.0,현대퓨처넷,3810.0,상승  30,+0.79%,500.0,1686.0,9097.0,25.0
423.0,한국쉘석유,319500.0,"상승  1,500",+0.47%,5000.0,3205.0,1884.0,423.0
424.0,HANARO 200,32680.0,상승  590,+1.84%,0.0,,,
425.0,해성디에스,24300.0,"상승  1,150",+4.97%,5000.0,6722.0,6887.0,1025.0
426.0,풀무원,10800.0,상승  200,+1.89%,500.0,29935.0,21568.0,620.0
427.0,남양유업,60300.0,상승  700,+1.17%,500.0,9968.0,7907.0,-724.0
428.0,KB스타리츠,3995.0,상승  35,+0.88%,500.0,298.0,10786.0,-268.0
429.0,NICE,10870.0,상승  50,+0.46%,500.0,28189.0,34841.0,970.0
430.0,코람코라이프인프라리츠,4145.0,상승  50,+1.22%,500.0,315.0,12602.0,181.0
431.0,대신증권우,15500.0,하락  90,-0.58%,5000.0,,,
432.0,동국제강,8080.0,상승  150,+1.89%,5000.0,26321.0,35318.0,2355.0
433.0,KODEX 코스피,25115.0,상승  445,+1.80%,0.0,,,
434.0,흥아해운,1662.0,상승  64,+4.01%,500.0,1648.0,3257.0,246.0
435.0,1Q CD금리액티브(합성),100990.0,상승  15,+0.01%,0.0,,,
436.0,KODEX 선진국MSCI World,31435.0,상승  130,+0.42%,0.0,,,
437.0,맵스리얼티1,4145.0,상승  45,+1.10%,0.0,,,
438.0,KODEX 국고채10년액티브,112490.0,상승  335,+0.30%,0.0,,,
439.0,아세아시멘트,10080.0,하락  20,-0.20%,500.0,12005.0,21204.0,1469.0
440.0,1Q 머니마켓액티브,51540.0,상승  5,+0.01%,0.0,,,
441.0,대상홀딩스,10490.0,상승  170,+1.65%,1000.0,52594.0,41595.0,1146.0
442.0,RISE 미국30년국채엔화노출(합성 H),8485.0,상승  30,+0.35%,0.0,,,
443.0,TIGER 미국나스닥100커버드콜(합성),11550.0,하락  25,-0.22%,0.0,,,
444.0,영진약품,2055.0,상승  61,+3.06%,500.0,2349.0,2266.0,31.0
445.0,대한제강,16040.0,하락  570,-3.43%,1000.0,14478.0,11158.0,1099.0
446.0,신도리코,37250.0,상승  150,+0.40%,5000.0,3958.0,10788.0,253.0
447.0,세아홀딩스,93800.0,하락  800,-0.85%,5000.0,64192.0,57894.0,2008.0
448.0,ACE 글로벌반도체TOP4 Plus SOLACTIVE,26030.0,상승  280,+1.09%,0.0,,,
449.0,풍산홀딩스,25950.0,상승  300,+1.17%,5000.0,4067.0,11943.0,678.0
450.0,KOSEF 국고채10년,114225.0,상승  280,+0.25%,0.0,,,
451.0,사조대림,40350.0,하락  250,-0.62%,5000.0,20631.0,12630.0,1286.0
452.0,신세계인터내셔날,10310.0,상승  400,+4.04%,1000.0,13543.0,13241.0,487.0
453.0,삼천리,90600.0,"상승  1,900",+2.14%,5000.0,56640.0,44328.0,1745.0
454.0,현대차3우B,153800.0,상승  100,+0.07%,5000.0,,,
455.0,ACE 200,33025.0,상승  625,+1.93%,0.0,,,
456.0,조광피혁,54500.0,상승  400,+0.74%,5000.0,1266.0,5045.0,63.0
457.0,SNT홀딩스,22150.0,하락  350,-1.56%,500.0,18957.0,27018.0,1790.0
458.0,스틱인베스트먼트,8640.0,하락  60,-0.69%,500.0,938.0,2849.0,331.0
459.0,히어로즈 머니마켓액티브,51650.0,보합0,0.00%,0.0,,,
460.0,엠씨넥스,19990.0,상승  330,+1.68%,500.0,9325.0,5357.0,182.0
461.0,SGC에너지,24750.0,상승  300,+1.23%,5000.0,30241.0,29675.0,1068.0
462.0,히어로즈 종합채권(AA-이상)액티브,107340.0,상승  425,+0.40%,0.0,,,
463.0,이아이디,1392.0,보합0,0.00%,200.0,2796.0,4678.0,-69.0
464.0,KODEX 미국AI테크TOP10타겟커버드콜,11760.0,하락  45,-0.38%,0.0,,,
465.0,한국자산신탁,2820.0,상승  10,+0.36%,500.0,2591.0,14801.0,1167.0
466.0,애경케미칼,7180.0,상승  600,+9.12%,500.0,17937.0,13084.0,451.0
467.0,KODEX 미국S&P500(H),13685.0,하락  80,-0.58%,0.0,,,
468.0,RISE KIS국고채30년Enhanced,82610.0,상승  370,+0.45%,0.0,,,
469.0,한섬,14690.0,보합0,0.00%,500.0,15286.0,17243.0,1005.0
470.0,애경산업,12950.0,상승  530,+4.27%,1000.0,6689.0,4824.0,619.0
471.0,한국철강,8040.0,상승  50,+0.63%,1000.0,9051.0,9725.0,866.0
472.0,PLUS 머니마켓액티브,51510.0,상승  5,+0.01%,0.0,,,
473.0,세아제강,119800.0,"상승  1,000",+0.84%,5000.0,18609.0,15359.0,2319.0
474.0,TIGER 중장기국채,51810.0,상승  95,+0.18%,0.0,,,
475.0,대원제약,15090.0,상승  690,+4.79%,500.0,5270.0,5080.0,322.0
476.0,HL홀딩스,34100.0,상승  100,+0.29%,5000.0,12855.0,22982.0,922.0
477.0,아모레퍼시픽우,31700.0,상승  200,+0.63%,500.0,,,
478.0,백광산업,7400.0,상승  360,+5.11%,500.0,2335.0,4269.0,177.0
479.0,TIGER 미국S&P500TR(H),14175.0,하락  80,-0.56%,0.0,,,
480.0,서연이화,12200.0,상승  150,+1.24%,500.0,35743.0,23579.0,1931.0
481.0,BGF,3445.0,하락  15,-0.43%,1000.0,4432.0,21713.0,705.0
482.0,일동제약,11730.0,상승  220,+1.91%,1000.0,6008.0,6113.0,-539.0
483.0,부광약품,4755.0,상승  175,+3.82%,500.0,1259.0,4290.0,-375.0
484.0,CJ4우(전환),77000.0,보합0,0.00%,5000.0,,,
485.0,TIGER 테슬라채권혼합Fn,14175.0,하락  355,-2.44%,0.0,,,
486.0,한투 KIS CD금리투자 ETN,53280.0,보합0,0.00%,0.0,,,
487.0,KODEX 미국나스닥100(H),16530.0,하락  95,-0.57%,0.0,,,
488.0,KODEX 26-12 회사채(AA-이상)액티브,10605.0,상승  10,+0.09%,0.0,,,
489.0,TIGER 2차전지TOP10,8535.0,상승  320,+3.90%,0.0,,,
490.0,미래에셋 레버리지 원유선물혼합 ETN(H),7685.0,상승  240,+3.22%,0.0,,,
491.0,KODEX 은행,8165.0,상승  35,+0.43%,0.0,,,
492.0,KODEX 미국30년국채액티브(H),9160.0,상승  65,+0.71%,0.0,,,
493.0,남해화학,6250.0,상승  80,+1.30%,1000.0,15881.0,8335.0,111.0
494.0,신성통상,2160.0,하락  20,-0.92%,500.0,15079.0,11626.0,1218.0
495.0,KISCO홀딩스,19160.0,하락  600,-3.04%,1000.0,15419.0,18025.0,1493.0
496.0,한전산업,9500.0,상승  140,+1.50%,500.0,3633.0,2036.0,260.0
497.0,한국금융지주우,52800.0,상승  300,+0.57%,5000.0,,,
498.0,TIMEFOLIO 글로벌AI인공지능액티브,26855.0,상승  385,+1.45%,0.0,,,
499.0,유나이티드제약,18580.0,상승  370,+2.03%,500.0,2789.0,4689.0,549.0
500.0,삼일제약,13880.0,하락  20,-0.14%,500.0,1963.0,3707.0,65.0
501.0,아세아제지,7010.0,하락  180,-2.50%,1000.0,9083.0,10482.0,876.0
502.0,롯데이노베이트,19720.0,상승  320,+1.65%,5000.0,11967.0,9441.0,569.0
503.0,KODEX 미국배당다우존스,11035.0,하락  50,-0.45%,0.0,,,
504.0,예스코홀딩스,49500.0,상승  100,+0.20%,5000.0,14305.0,13580.0,575.0
505.0,광동제약,5630.0,상승  30,+0.54%,1000.0,15145.0,10781.0,421.0
506.0,농심홀딩스,63500.0,상승  200,+0.32%,5000.0,7695.0,15051.0,753.0
507.0,KODEX 미국30년국채울트라선물(H),7545.0,상승  40,+0.53%,0.0,,,
508.0,KODEX ESG종합채권(A-이상)액티브,113395.0,상승  320,+0.28%,0.0,,,
509.0,한화3우B,15000.0,상승  100,+0.67%,5000.0,,,
510.0,TIGER 글로벌자율주행&전기차SOLACTIVE,11280.0,하락  60,-0.53%,0.0,,,
511.0,엘브이엠씨홀딩스,1696.0,상승  84,+5.21%,0.0,2605.0,6518.0,-156.0
512.0,LX하우시스,32200.0,상승  50,+0.16%,5000.0,35258.0,23848.0,1098.0
513.0,KOSEF 200,32575.0,상승  645,+2.02%,0.0,,,
514.0,국도화학,31850.0,상승  200,+0.63%,5000.0,13118.0,15096.0,192.0
515.0,삼화콘덴서,27550.0,상승  700,+2.61%,1000.0,2808.0,3080.0,237.0
516.0,한진,19150.0,상승  70,+0.37%,5000.0,28075.0,42014.0,1225.0
517.0,LG생활건강우,136100.0,하락  300,-0.22%,5000.0,,,
518.0,부국증권,27550.0,하락  50,-0.18%,5000.0,8150.0,17705.0,691.0
519.0,삼성 인버스 2X 코스닥150 선물 ETN,7105.0,하락  585,-7.61%,0.0,,,
520.0,수산인더스트리,19700.0,하락  10,-0.05%,200.0,3247.0,6032.0,502.0
521.0,모토닉,8520.0,상승  20,+0.24%,500.0,2443.0,4802.0,152.0
522.0,백산,12790.0,하락  170,-1.31%,500.0,4177.0,3519.0,531.0
523.0,KODEX 25-11 회사채(A+이상)액티브,10715.0,상승  10,+0.09%,0.0,,,
524.0,TIGER 헬스케어,37245.0,상승  780,+2.14%,0.0,,,
525.0,자화전자,12110.0,상승  390,+3.33%,500.0,5033.0,6926.0,-164.0
526.0,디앤디플랫폼리츠,3035.0,상승  40,+1.34%,1000.0,202.0,8530.0,104.0
527.0,삼성 레버리지 천연가스 선물 ETN C,5360.0,하락  90,-1.65%,0.0,,,
528.0,CR홀딩스,5700.0,상승  20,+0.35%,500.0,8169.0,16218.0,394.0
529.0,아이마켓코리아,7970.0,보합0,0.00%,500.0,34256.0,13737.0,511.0
530.0,이리츠코크렙,4200.0,상승  75,+1.82%,500.0,224.0,6826.0,174.0
531.0,에어부산,2280.0,상승  15,+0.66%,1000.0,8904.0,13581.0,1598.0
532.0,PLUS 종합채권(AA-이상)액티브,113670.0,상승  275,+0.24%,0.0,,,
533.0,송원산업,11000.0,상승  190,+1.76%,500.0,10300.0,10897.0,585.0
534.0,제주은행,8200.0,하락  100,-1.20%,5000.0,3712.0,71627.0,26.0
535.0,DB,1299.0,상승  6,+0.46%,500.0,4586.0,8794.0,370.0
536.0,한일현대시멘트,13470.0,상승  30,+0.22%,5000.0,5047.0,8383.0,480.0
537.0,대동,10090.0,상승  120,+1.20%,1000.0,14334.0,19564.0,654.0
538.0,KG케미칼,3760.0,상승  95,+2.59%,1000.0,89331.0,78181.0,4426.0
539.0,RISE 200위클리커버드콜,8370.0,상승  90,+1.09%,0.0,,,
540.0,PLUS K방산,19930.0,상승  70,+0.35%,0.0,,,
541.0,한국토지신탁,1005.0,상승  5,+0.50%,1000.0,2701.0,18866.0,312.0
542.0,현대코퍼레이션,19160.0,하락  110,-0.57%,5000.0,65804.0,20597.0,993.0
543.0,신성이엔지,1230.0,상승  46,+3.89%,500.0,5765.0,5877.0,74.0
544.0,삼양패키징,15880.0,하락  170,-1.06%,5000.0,4217.0,6420.0,325.0
545.0,삼진제약,17940.0,상승  100,+0.56%,1000.0,2921.0,4199.0,205.0
546.0,서울가스,49850.0,보합0,0.00%,5000.0,17174.0,17772.0,-32.0
547.0,TIGER 일본니케이225,22335.0,하락  80,-0.36%,0.0,,,
548.0,이연제약,13360.0,상승  390,+3.01%,500.0,1511.0,4998.0,40.0
549.0,화승인더,4480.0,상승  30,+0.67%,500.0,14666.0,16533.0,247.0
550.0,SIMPAC,3780.0,상승  15,+0.40%,500.0,6094.0,10579.0,175.0
551.0,화신,7060.0,상승  150,+2.17%,500.0,18028.0,11968.0,837.0
552.0,TIGER 미국S&P500타겟데일리커버드콜,11285.0,하락  60,-0.53%,0.0,,,
553.0,HD현대에너지솔루션,21750.0,"상승  1,350",+6.62%,5000.0,5461.0,5021.0,175.0
554.0,유진투자증권,2510.0,상승  70,+2.87%,5000.0,16477.0,86993.0,270.0
555.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),6490.0,하락  55,-0.84%,0.0,,,
556.0,ACE CD금리&초단기채권액티브,101930.0,상승  15,+0.01%,0.0,,,
557.0,KODEX 미국AI전력핵심인프라,13040.0,상승  240,+1.88%,0.0,,,
558.0,대한제당,2670.0,상승  15,+0.56%,500.0,13323.0,11854.0,472.0
559.0,SOL AI반도체소부장,10595.0,상승  600,+6.00%,0.0,,,
560.0,대성에너지,8680.0,상승  70,+0.81%,1000.0,9995.0,8032.0,204.0
561.0,에이프로젠,784.0,상승  12,+1.55%,500.0,1506.0,5944.0,-889.0
562.0,종근당홀딩스,47500.0,상승  50,+0.11%,2500.0,8798.0,14560.0,170.0
563.0,동국홀딩스,7480.0,상승  100,+1.36%,5000.0,18411.0,24216.0,601.0
564.0,대원강업,3835.0,상승  10,+0.26%,500.0,11068.0,10263.0,592.0
565.0,넥센,4435.0,상승  30,+0.68%,500.0,30361.0,50610.0,2210.0
566.0,삼성SDI우,146700.0,"상승  3,900",+2.73%,5000.0,,,
567.0,한국화장품제조,52300.0,상승  800,+1.55%,500.0,1093.0,892.0,90.0
568.0,YG PLUS,3730.0,상승  100,+2.75%,500.0,2236.0,2255.0,212.0
569.0,잇츠한불,10750.0,상승  190,+1.80%,500.0,1392.0,4986.0,81.0
570.0,현대차증권,7420.0,상승  70,+0.95%,5000.0,15822.0,115853.0,652.0
571.0,ACE 베트남VN30(합성),21760.0,하락  80,-0.37%,0.0,,,
572.0,RISE KOFR금리액티브(합성),102410.0,상승  25,+0.02%,0.0,,,
573.0,KOSEF 인도Nifty50(합성),26045.0,상승  195,+0.75%,0.0,,,
574.0,일양약품,12220.0,상승  410,+3.47%,2500.0,3705.0,4595.0,248.0
575.0,콜마홀딩스,6800.0,상승  70,+1.04%,500.0,6373.0,12897.0,169.0
576.0,삼영무역,12610.0,하락  110,-0.86%,500.0,4768.0,6756.0,172.0
577.0,SOL 미국배당다우존스(H),11170.0,하락  45,-0.40%,0.0,,,
578.0,TIGER 은행고배당플러스TOP10,13500.0,상승  25,+0.19%,0.0,,,
579.0,NH투자증권우,12220.0,하락  80,-0.65%,5000.0,,,
580.0,TIGER 투자등급회사채액티브,114945.0,상승  140,+0.12%,0.0,,,
581.0,대덕,6760.0,상승  40,+0.60%,500.0,12793.0,18353.0,313.0
582.0,대원전선,3050.0,보합0,0.00%,500.0,5154.0,2349.0,131.0
583.0,신대양제지,5670.0,하락  40,-0.70%,500.0,6454.0,8762.0,585.0
584.0,광주신세계,28700.0,하락  200,-0.69%,1000.0,1796.0,9345.0,549.0
585.0,히어로즈 CD금리액티브(합성),105790.0,상승  20,+0.02%,0.0,,,
586.0,케이씨,16810.0,상승  230,+1.39%,500.0,7270.0,10623.0,664.0
587.0,이지스밸류리츠,4425.0,보합0,0.00%,1000.0,104.0,5205.0,6.0
588.0,GS글로벌,2755.0,상승  40,+1.47%,2500.0,39165.0,14011.0,765.0
589.0,삼성 인버스 2X 천연가스 선물 ETN C,45370.0,상승  375,+0.83%,0.0,,,
590.0,일성건설,4185.0,하락  355,-7.82%,500.0,6077.0,4093.0,73.0
591.0,KODEX 테슬라커버드콜채권혼합액티브,9720.0,하락  140,-1.42%,0.0,,,
592.0,TIMEFOLIO 미국나스닥100액티브,26495.0,하락  80,-0.30%,0.0,,,
593.0,코리아써키트,9530.0,상승  290,+3.14%,500.0,13322.0,12365.0,-321.0
594.0,LS네트웍스,2850.0,상승  40,+1.42%,5000.0,3796.0,13092.0,116.0
595.0,SK증권,474.0,상승  10,+2.16%,500.0,11445.0,64491.0,131.0
596.0,ACE 국고채10년,89915.0,상승  235,+0.26%,0.0,,,
597.0,JW홀딩스,3025.0,상승  40,+1.34%,500.0,9281.0,11763.0,1449.0
598.0,TIGER 미국필라델피아반도체레버리지(합성),25605.0,상승  80,+0.31%,0.0,,,
599.0,환인제약,11950.0,상승  80,+0.67%,500.0,2304.0,4012.0,302.0
600.0,도화엔지니어링,6590.0,상승  40,+0.61%,500.0,5750.0,6051.0,219.0
601.0,KPX홀딩스,52400.0,하락  100,-0.19%,5000.0,12070.0,19286.0,654.0
602.0,이월드,1556.0,상승  46,+3.05%,1000.0,1153.0,4217.0,79.0
603.0,흥국화재,3430.0,하락  90,-2.56%,5000.0,33524.0,120316.0,4078.0
604.0,DB금융투자,5190.0,보합0,0.00%,5000.0,12070.0,102120.0,213.0
605.0,RISE 비메모리반도체액티브,9915.0,상승  380,+3.99%,0.0,,,
606.0,한화갤러리아,1135.0,상승  27,+2.44%,500.0,4345.0,18551.0,98.0
607.0,휴스틸,3910.0,상승  50,+1.30%,1000.0,7648.0,13260.0,1232.0
608.0,스카이라이프,4585.0,하락  65,-1.40%,2500.0,10256.0,12157.0,141.0
609.0,TIGER 미국나스닥100TR(H),17010.0,하락  105,-0.61%,0.0,,,
610.0,한농화성,13900.0,상승  770,+5.86%,500.0,2124.0,2374.0,-24.0
611.0,주성코퍼레이션,4100.0,보합0,0.00%,500.0,239.0,341.0,-13.0
612.0,대한제분,127600.0,"상승  1,800",+1.43%,5000.0,14415.0,14014.0,549.0
613.0,세방,11140.0,상승  50,+0.45%,500.0,11420.0,13452.0,287.0
614.0,ACE 미국S&P500채권혼합액티브,13170.0,보합0,0.00%,0.0,,,
