N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
67.0,한국항공우주,56000.0,상승  200,+0.36%,5000.0,38193.0,71396.0,2475.0
68.0,LS ELECTRIC,174200.0,상승  800,+0.46%,5000.0,42305.0,37329.0,3249.0
69.0,HD현대미포,127900.0,"하락  6,600",-4.91%,5000.0,40391.0,49091.0,-1529.0
70.0,맥쿼리인프라,10620.0,상승  20,+0.19%,0.0,,,
71.0,한진칼,74600.0,"상승  2,400",+3.32%,2500.0,2757.0,37849.0,428.0
72.0,한국타이어앤테크놀로지,39550.0,"상승  1,400",+3.67%,500.0,89396.0,127633.0,13279.0
73.0,LG생활건강,312000.0,"상승  5,500",+1.79%,5000.0,68048.0,72203.0,4870.0
74.0,코웨이,65400.0,"하락  1,600",-2.39%,500.0,39665.0,48510.0,7313.0
75.0,두산,289500.0,"상승  24,500",+9.25%,5000.0,191301.0,282868.0,14363.0
76.0,미래에셋증권,8140.0,상승  110,+1.37%,5000.0,203566.0,1281773.0,5210.0
77.0,에코프로머티,66100.0,"상승  4,300",+6.96%,500.0,9525.0,11042.0,88.0
78.0,LG디스플레이,9190.0,상승  130,+1.43%,5000.0,213308.0,357593.0,-25102.0
79.0,LG유플러스,10450.0,상승  70,+0.67%,5000.0,143726.0,201006.0,9980.0
80.0,넷마블,52500.0,"상승  1,900",+3.75%,100.0,25021.0,79159.0,-685.0
81.0,한화시스템,23600.0,하락  300,-1.26%,5000.0,24531.0,44832.0,929.0
82.0,NH투자증권,13590.0,하락  400,-2.86%,5000.0,103712.0,566979.0,7258.0
83.0,삼성카드,38400.0,하락  700,-1.79%,5000.0,40042.0,288065.0,8100.0
84.0,SKC,117000.0,"상승  7,300",+6.65%,5000.0,15708.0,70323.0,-2163.0
85.0,TIGER 미국나스닥100,137510.0,하락  675,-0.49%,0.0,,,
86.0,두산밥캣,43400.0,상승  750,+1.76%,500.0,97589.0,103718.0,13899.0
87.0,KODEX KOFR금리액티브(합성),109140.0,상승  25,+0.02%,0.0,,,
88.0,두산로보틱스,65500.0,"하락  1,500",-2.24%,500.0,530.0,4564.0,-192.0
89.0,엔씨소프트,189000.0,"상승  7,000",+3.85%,500.0,17798.0,43938.0,1373.0
90.0,오리온,102900.0,하락  200,-0.19%,500.0,29124.0,35214.0,4924.0
91.0,KODEX 머니마켓액티브,101605.0,상승  15,+0.01%,0.0,,,
92.0,한국금융지주,71100.0,상승  400,+0.57%,5000.0,230785.0,959012.0,8204.0
93.0,효성중공업,417500.0,"상승  11,000",+2.71%,5000.0,43006.0,47613.0,2578.0
94.0,SK바이오사이언스,49350.0,"상승  1,200",+2.49%,500.0,3695.0,18524.0,-120.0
95.0,삼성증권,42950.0,하락  100,-0.23%,5000.0,131684.0,565079.0,7411.0
96.0,LG이노텍,160300.0,"상승  2,800",+1.78%,5000.0,206053.0,112043.0,8308.0
97.0,CJ제일제당,251500.0,"상승  4,000",+1.62%,5000.0,290235.0,296063.0,12916.0
98.0,현대차우,154200.0,보합0,0.00%,5000.0,,,
99.0,카카오페이,27100.0,"상승  1,000",+3.83%,500.0,6154.0,39665.0,-566.0
100.0,GS,39150.0,상승  350,+0.90%,5000.0,259785.0,344484.0,37218.0
101.0,현대오토에버,132300.0,"하락  2,700",-2.00%,500.0,30650.0,28431.0,1814.0
102.0,한미약품,283000.0,"상승  4,500",+1.62%,2500.0,14909.0,18987.0,2207.0
103.0,시프트업,60400.0,하락  800,-1.31%,200.0,1686.0,2039.0,1111.0
104.0,TIGER KOFR금리액티브(합성),107655.0,상승  30,+0.03%,0.0,,,
105.0,KODEX 미국S&P500TR,19710.0,하락  120,-0.61%,0.0,,,
106.0,강원랜드,16060.0,하락  170,-1.05%,500.0,13886.0,44487.0,2823.0
107.0,BNK금융지주,10460.0,하락  50,-0.48%,5000.0,96642.0,1457836.0,8012.0
108.0,삼성E&A,16900.0,상승  100,+0.60%,5000.0,106249.0,78014.0,9931.0
109.0,한국가스공사,34700.0,상승  600,+1.76%,5000.0,445560.0,572547.0,15534.0
110.0,TIGER 미국테크TOP10 INDXX,25335.0,하락  175,-0.69%,0.0,,,
